Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
 // ,G133T-1497 // G133T-1496,1392622 // 1390072,1393158 // 1391316,+
,G133T-1495,1388679,1389875,+
,G133T-1494,1387805,1388584,-
 // ,G133T-1493 // G133T-1492,1386279 // 1385210,1387475 // 1386271,-
,G133T-1491,1385051,1385176,+
 // ,G133T-1490 // G133T-1489,1384464 // 1382251,1384961 // 1384467,+
,G133T-1488,1380976,1381998,-
 // ,G133T-1487 // G133T-1486,1380757 // 1380599,1380933 // 1380754,+
,G133T-1485,1379105,1380454,+
,G133T-1484,1378035,1378931,+
,G133T-1483,1377163,1377864,-
,G133T-1482,1376838,1377032,-
 // ,G133T-1481 // G133T-1480,1375682 // 1374930,1376827 // 1375685,+
,G133T-1479,1373872,1374666,+
,G133T-1478,1373637,1373762,-
,G133T-1477,1372950,1373615,+
,G133T-1476,1370367,1372616,-
,G133T-1475,1369395,1370279,-
,G133T-1474,1367556,1369253,-
 // ,G133T-1473 // G133T-1472,1366517 // 1364810,1367530 // 1366504,+
,G133T-1471,1363805,1364617,-
,G133T-1470,1363133,1363777,+
,G133T-1469,1362013,1363134,-
,G133T-1468,1361534,1361998,+
,G133T-1467,1361219,1361401,+
,G133T-1466,1360976,1361131,+
,G133T-1465,1360448,1360780,-
,G133T-1464,1359050,1360405,+
,G133T-1463,1358408,1358545,+
,G133T-1462,1357813,1358325,+
 //  // ,G133T-1461 // G133T-1460 // G133T-1459,1357041 // 1355680 // 1354990,1357721 // 1357044 // 1355676,+
 //  // ,G133T-1458 // G133T-1457 // G133T-1456,1354077 // 1353476 // 1351846,1354679 // 1354075 // 1353489,-
,G133T-1455,1351107,1351871,-
,G133T-1454,1350243,1351076,+
,G133T-1453,1349971,1350123,+
,G133T-1452,1349061,1350020,-
 // ,G133T-1451 // G133T-1450,1348642 // 1346357,1348779 // 1348645,-
,G133T-145,134168,135124,+
,G133T-1449,1345714,1346184,-
 // ,G133T-1448 // G133T-1447,1345494 // 1345057,1345664 // 1345467,+
,G133T-1446,1344471,1344914,-
,G133T-1445,1344015,1344440,+
 // ,G133T-1444 // G133T-1443,1342642 // 1341533,1343889 // 1342630,+
,G133T-1442,1340280,1341182,+
 // ,G133T-1441 // G133T-1440,1339892 // 1339554,1340209 // 1339892,+
,G133T-144,132879,134069,+
 // ,G133T-1439 // G133T-1438,1338814 // 1338297,1339332 // 1338824,+
,G133T-1437,1337474,1338205,+
,G133T-1436,1337105,1337218,-
,G133T-1435,1335829,1337028,+
,G133T-1434,1335030,1335590,+
,G133T-1433,1334052,1334912,-
,G133T-1432,1332913,1333962,-
 //  //  //  //  //  //  //  //  // ,G133T-1431 // G133T-1430 // G133T-1429 // G133T-1428 // G133T-1427 // G133T-1426 // G133T-1425 // G133T-1424 // G133T-1423 // G133T-1422,1331881 // 1330978 // 1329881 // 1328943 // 1328837 // 1327206 // 1326178 // 1325211 // 1324279 // 1323438,1332870 // 1331868 // 1330981 // 1329884 // 1328977 // 1328837 // 1327185 // 1326173 // 1325205 // 1324262,+
,G133T-143,130828,132759,+
,G133T-1421,1322491,1323309,+
,G133T-1420,1320973,1322325,-
,G133T-142,130157,130627,+
 //  // ,G133T-1419 // G133T-1418 // G133T-1417,1320476 // 1319484 // 1317322,1320595 // 1320455 // 1319472,+
,G133T-1416,1316117,1317067,+
,G133T-1415,1314412,1315728,-
 // ,G133T-1414 // G133T-1413,1313519 // 1312505,1314136 // 1313506,-
 // ,G133T-1412 // G133T-1411,1311649 // 1311479,1312395 // 1311649,-
,G133T-1410,1311256,1311393,-
,G133T-141,129699,130115,+
 //  // ,G133T-1409 // G133T-1408 // G133T-1407,1310326 // 1310050 // 1309768,1311219 // 1310313 // 1310037,+
,G133T-1406,1308876,1309715,+
 //  //  //  //  //  // ,G133T-1405 // G133T-1404 // G133T-1403 // G133T-1402 // G133T-1401 // G133T-1400 // G133T-1399,1308668 // 1308342 // 1306267 // 1305992 // 1305417 // 1304387 // 1303969,1308832 // 1308671 // 1308330 // 1306264 // 1305995 // 1305433 // 1304394,+
,G133T-140,129337,129585,+
,G133T-14,14847,15794,-
 //  //  // ,G133T-1398 // G133T-1397 // G133T-1396 // G133T-1395,1303646 // 1302669 // 1301994 // 1298186,1303912 // 1303646 // 1302653 // 1302001,+
 //  //  //  //  //  //  //  //  //  //  // ,G133T-1394 // G133T-1393 // G133T-1392 // G133T-1391 // G133T-1390 // G133T-1389 // G133T-1388 // G133T-1387 // G133T-1386 // G133T-1385 // G133T-1384 // G133T-1383,1296841 // 1295439 // 1295224 // 1294780 // 1294282 // 1293929 // 1293549 // 1292592 // 1291739 // 1290232 // 1288927 // 1288133,1297284 // 1296839 // 1295442 // 1295220 // 1294767 // 1294285 // 1293932 // 1293527 // 1292566 // 1291719 // 1290228 // 1288930,+
,G133T-139,125559,129158,+
,G133T-1382,1287508,1288017,+
 // ,G133T-1381 // G133T-1380,1287186 // 1286839,1287392 // 1287189,+
,G133T-138,122057,125497,+
 //  //  //  // ,G133T-1379 // G133T-1378 // G133T-1377 // G133T-1376 // G133T-1375,1286587 // 1285964 // 1285888 // 1285051 // 1284885,1286754 // 1286587 // 1286004 // 1285887 // 1285064,+
,G133T-1374,1284366,1284707,-
,G133T-1373,1283607,1284203,-
,G133T-1372,1282727,1283563,+
,G133T-1371,1282048,1282650,+
,G133T-1370,1281565,1281942,-
,G133T-137,121065,121670,+
,G133T-1369,1280572,1281525,+
,G133T-1368,1280194,1280451,-
 // ,G133T-1367 // G133T-1366,1280029 // 1278909,1280163 // 1280039,+
,G133T-1365,1277487,1278758,+
,G133T-1364,1276874,1277338,-
,G133T-1363,1275885,1276649,-
 //  // ,G133T-1362 // G133T-1361 // G133T-1360,1274353 // 1272914 // 1271836,1275846 // 1274356 // 1272837,+
,G133T-136,120604,120975,+
,G133T-1359,1270480,1271748,+
 //  //  // ,G133T-1358 // G133T-1357 // G133T-1356 // G133T-1355,1269596 // 1268520 // 1267476 // 1266457,1270432 // 1269599 // 1268495 // 1267470,+
 //  // ,G133T-1354 // G133T-1353 // G133T-1352,1264973 // 1263466 // 1263330,1266352 // 1264905 // 1263464,+
 // ,G133T-1351 // G133T-1350,1262108 // 1261646,1263286 // 1262068,+
,G133T-135,120058,120558,+
,G133T-1349,1261414,1261533,+
 // ,G133T-1348 // G133T-1347,1260760 // 1260678,1261257 // 1260797,+
,G133T-1346,1259654,1260628,-
 // ,G133T-1345 // G133T-1344,1258782 // 1258030,1259534 // 1258782,-
,G133T-1343,1257172,1257984,+
,G133T-1342,1256810,1256998,-
 // ,G133T-1341 // G133T-1340,1255591 // 1254378,1256769 // 1255568,+
,G133T-134,119108,119806,+
,G133T-1339,1253709,1253987,-
,G133T-1338,1253061,1253678,+
,G133T-1337,1252332,1252973,+
 // ,G133T-1336 // G133T-1335,1251575 // 1248625,1252135 // 1251582,+
,G133T-1334,1247904,1248479,-
,G133T-1333,1247405,1247683,-
 // ,G133T-1332 // G133T-1331,1246497 // 1246369,1247396 // 1246500,+
,G133T-1330,1246203,1246370,-
,G133T-133,118588,119013,+
,G133T-1329,1245605,1246078,-
,G133T-1328,1244162,1245565,+
,G133T-1327,1243660,1243908,-
,G133T-1326,1242548,1243510,-
,G133T-1325,1242407,1242529,+
,G133T-1324,1241599,1241928,-
,G133T-1323,1241239,1241433,-
,G133T-1322,1240720,1241199,+
,G133T-1321,1239371,1239877,-
,G133T-1320,1238912,1239325,+
,G133T-132,117887,118420,+
 // ,G133T-1319 // G133T-1318,1237726 // 1235759,1238673 // 1237711,+
,G133T-1317,1233665,1235611,+
,G133T-1316,1232767,1233114,-
,G133T-1315,1231863,1232618,+
,G133T-1314,1231345,1231626,+
,G133T-1313,1230608,1231135,+
 // ,G133T-1312 // G133T-1311,1230163 // 1229648,1230447 // 1230151,+
 //  // ,G133T-1310 // G133T-1309 // G133T-1308,1228921 // 1228711 // 1228564,1229382 // 1228884 // 1228695,+
 // ,G133T-131 // G133T-130,117529 // 117346,117708 // 117495,+
,G133T-1307,1228173,1228307,+
,G133T-1306,1226736,1227965,-
,G133T-1305,1226507,1226665,+
,G133T-1304,1225823,1225895,+
,G133T-1303,1224460,1225650,-
,G133T-1302,1223845,1224390,-
 //  // ,G133T-1301 // G133T-1300 // G133T-1299,1222640 // 1221502 // 1221353,1223812 // 1222647 // 1221505,+
 //  //  //  // ,G133T-13 // G133T-12 // G133T-11 // G133T-10 // G133T-9,14692 // 11709 // 11552 // 11464 // 9810,14807 // 14636 // 11624 // 11537 // 11364,+
 //  // ,G133T-1298 // G133T-1297 // G133T-1296,1220448 // 1219896 // 1219470,1221170 // 1220411 // 1219892,-
,G133T-1295,1219143,1219397,+
,G133T-1294,1216747,1219026,-
,G133T-1293,1216419,1216673,+
,G133T-1292,1216137,1216286,+
,G133T-1291,1215849,1216055,+
,G133T-1290,1215592,1215825,-
,G133T-129,116648,117253,+
,G133T-1289,1215211,1215567,+
 // ,G133T-1288 // G133T-1287,1214665 // 1214307,1215051 // 1214624,-
,G133T-1286,1213690,1214208,-
,G133T-1285,1213050,1213538,-
,G133T-1284,1212476,1212922,-
 //  //  // ,G133T-1283 // G133T-1282 // G133T-1281 // G133T-1280,1212348 // 1211705 // 1211552 // 1210822,1212479 // 1212382 // 1211674 // 1211598,+
 //  //  //  //  //  //  //  //  //  // ,G133T-128 // G133T-127 // G133T-126 // G133T-125 // G133T-124 // G133T-123 // G133T-122 // G133T-121 // G133T-120 // G133T-119 // G133T-118,116022 // 115266 // 114851 // 113447 // 112809 // 112622 // 112500 // 111044 // 110477 // 109786 // 108671,116534 // 116015 // 115282 // 114847 // 113450 // 112807 // 112625 // 112495 // 110953 // 110484 // 109771,+
 //  //  //  //  // ,G133T-1279 // G133T-1278 // G133T-1277 // G133T-1276 // G133T-1275 // G133T-1274,1209871 // 1208842 // 1208081 // 1207875 // 1206769 // 1206168,1210686 // 1209852 // 1208845 // 1208078 // 1207878 // 1206785,+
,G133T-1273,1205483,1206193,+
,G133T-1272,1203390,1205234,+
,G133T-1271,1202421,1203155,-
 //  //  // ,G133T-1270 // G133T-1269 // G133T-1268 // G133T-1267,1201509 // 1200694 // 1200037 // 1199643,1202408 // 1201494 // 1200675 // 1200011,+
 // ,G133T-1266 // G133T-1265,1198946 // 1198197,1199518 // 1198931,-
 // ,G133T-1264 // G133T-1263,1197544 // 1196648,1197942 // 1197547,-
,G133T-1262,1196167,1196334,-
,G133T-1261,1194117,1196129,+
,G133T-1260,1192919,1194070,+
,G133T-1259,1192753,1192875,-
,G133T-1258,1192102,1192758,+
,G133T-1257,1191169,1191825,-
,G133T-1256,1190731,1191126,+
,G133T-1255,1189972,1190550,+
,G133T-1254,1188627,1189808,+
,G133T-1253,1188489,1188605,-
 //  //  // ,G133T-1252 // G133T-1251 // G133T-1250 // G133T-1249,1187558 // 1186498 // 1185567 // 1184628,1188484 // 1187565 // 1186484 // 1185563,+
,G133T-1248,1182883,1184520,+
,G133T-1247,1181147,1182184,-
,G133T-1246,1180360,1181112,+
 // ,G133T-1245 // G133T-1244,1179244 // 1178277,1180155 // 1179227,+
 // ,G133T-1243 // G133T-1242,1175494 // 1174511,1176483 // 1175497,+
,G133T-1241,1173534,1174319,+
 // ,G133T-1240 // G133T-1239,1172217 // 1171256,1173458 // 1172194,+
,G133T-1238,1170852,1171085,-
 // ,G133T-1237 // G133T-1236,1170631 // 1169663,1170822 // 1170616,+
 //  // ,G133T-1235 // G133T-1234 // G133T-1233,1169015 // 1168887 // 1168199,1169572 // 1169030 // 1168933,+
,G133T-1232,1167765,1167950,-
,G133T-1231,1167540,1167719,+
 //  //  //  //  //  // ,G133T-1230 // G133T-1229 // G133T-1228 // G133T-1227 // G133T-1226 // G133T-1225 // G133T-1224,1166495 // 1163415 // 1162361 // 1161133 // 1160360 // 1159125 // 1158068,1167454 // 1166507 // 1163422 // 1162290 // 1161136 // 1160345 // 1159105,+
 // ,G133T-1223 // G133T-1222,1157322 // 1155892,1157861 // 1157322,+
,G133T-1221,1155661,1155831,+
,G133T-1220,1155288,1155596,+
,G133T-1219,1154457,1155224,+
,G133T-1218,1153524,1154336,-
 // ,G133T-1217 // G133T-1216,1153268 // 1153070,1153420 // 1153267,-
 // ,G133T-1215 // G133T-1214,1152584 // 1151723,1153039 // 1152565,+
,G133T-1213,1150734,1151585,-
,G133T-1212,1149071,1150687,+
 //  // ,G133T-1211 // G133T-1210 // G133T-1209,1148642 // 1148035 // 1147691,1148935 // 1148622 // 1148038,+
,G133T-1208,1147389,1147535,+
 //  // ,G133T-1207 // G133T-1206 // G133T-1205,1146977 // 1146063 // 1145482,1147513 // 1146992 // 1146066,-
,G133T-1204,1144581,1145429,+
,G133T-1203,1143943,1144434,-
,G133T-1202,1141791,1143629,-
 // ,G133T-1201 // G133T-1200,1141252 // 1140399,1141701 // 1141247,-
 // ,G133T-1199 // G133T-1198,1139019 // 1137895,1140287 // 1139010,-
,G133T-1197,1137170,1137844,-
 // ,G133T-1196 // G133T-1195,1136367 // 1135684,1137125 // 1136370,+
 //  // ,G133T-1194 // G133T-1193 // G133T-1192,1134789 // 1133507 // 1132911,1135499 // 1134676 // 1133510,-
,G133T-1191,1132077,1132883,+
,G133T-1190,1131233,1131871,-
,G133T-1189,1129777,1131225,+
,G133T-1188,1129042,1129653,-
,G133T-1187,1128483,1129067,-
,G133T-1186,1127404,1128432,+
,G133T-1185,1127221,1127412,-
 // ,G133T-1184 // G133T-1183,1126182 // 1125301,1127195 // 1126164,+
,G133T-1182,1123810,1125177,-
,G133T-1181,1122977,1123780,+
,G133T-1180,1122245,1122721,-
,G133T-1179,1120271,1122115,+
,G133T-1178,1119538,1120179,-
,G133T-1177,1116823,1119507,+
,G133T-1176,1116299,1116655,+
,G133T-1175,1115278,1116183,+
,G133T-1174,1114200,1115123,-
,G133T-1173,1113884,1114054,-
,G133T-1172,1113565,1113714,+
 //  //  // ,G133T-1171 // G133T-1170 // G133T-1169 // G133T-1168,1113240 // 1112992 // 1112352 // 1112179,1113461 // 1113225 // 1112969 // 1112355,-
 // ,G133T-117 // G133T-116,107473 // 106093,108555 // 107469,+
 // ,G133T-1167 // G133T-1166,1111778 // 1111528,1112119 // 1111746,-
 //  // ,G133T-1165 // G133T-1164 // G133T-1163,1111189 // 1107783 // 1106611,1111491 // 1111175 // 1107786,+
 // ,G133T-1162 // G133T-1161,1102841 // 1099354,1106539 // 1102854,+
,G133T-1160,1098733,1099170,-
,G133T-1159,1098445,1098621,+
,G133T-1158,1098289,1098450,-
,G133T-1157,1096532,1098259,+
,G133T-1156,1095213,1096418,-
,G133T-1155,1093952,1095106,-
,G133T-1154,1092749,1093738,+
,G133T-1153,1091320,1092645,-
 // ,G133T-1152 // G133T-1151,1090500 // 1089434,1091348 // 1090486,-
,G133T-1150,1088157,1089362,-
 //  // ,G133T-115 // G133T-114 // G133T-113,103569 // 102481 // 102134,106001 // 103572 // 102481,+
,G133T-1149,1087472,1087999,+
,G133T-1148,1085896,1087395,+
 // ,G133T-1147 // G133T-1146,1085209 // 1084584,1085715 // 1085207,+
,G133T-1145,1084070,1084432,-
 // ,G133T-1144 // G133T-1143,1083662 // 1082196,1083862 // 1083665,-
,G133T-1142,1081884,1082153,+
 // ,G133T-1141 // G133T-1140,1081667 // 1080768,1081795 // 1081667,-
,G133T-1139,1080143,1080721,+
,G133T-1138,1079617,1079850,-
,G133T-1137,1078732,1079589,+
,G133T-1136,1077091,1078620,-
,G133T-1135,1075654,1077036,-
 //  // ,G133T-1134 // G133T-1133 // G133T-1132,1074959 // 1073513 // 1072422,1075519 // 1074952 // 1073516,-
,G133T-1131,1071770,1072351,-
,G133T-1130,1070767,1071738,+
 // ,G133T-1129 // G133T-1128,1070570 // 1069558,1070689 // 1070550,+
 // ,G133T-1127 // G133T-1126,1069037 // 1068851,1069486 // 1069006,+
,G133T-1125,1067457,1068602,-
,G133T-1124,1066138,1067418,+
,G133T-1123,1065594,1065989,-
,G133T-1122,1064014,1065555,+
,G133T-1121,1063253,1063897,+
 // ,G133T-1120 // G133T-1119,1062193 // 1061446,1063188 // 1062180,+
,G133T-112,101446,101910,+
,G133T-1118,1061154,1061294,-
,G133T-1117,1059594,1060883,-
 // ,G133T-1116 // G133T-1115,1059150 // 1058097,1059557 // 1059137,+
,G133T-1114,1057768,1057959,-
,G133T-1113,1056908,1057684,+
,G133T-1112,1055804,1056781,-
,G133T-1111,1053435,1055762,+
,G133T-1110,1052789,1053364,+
 //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-111 // G133T-110 // G133T-109 // G133T-108 // G133T-107 // G133T-106 // G133T-105 // G133T-104 // G133T-103 // G133T-102 // G133T-101 // G133T-100 // G133T-99 // G133T-98 // G133T-97,101090 // 98107 // 96389 // 96144 // 96058 // 95954 // 95859 // 95770 // 95647 // 95565 // 95453 // 95373 // 95235 // 92252 // 90535,101205 // 101034 // 97942 // 96216 // 96131 // 96027 // 95944 // 95841 // 95729 // 95637 // 95525 // 95445 // 95350 // 95179 // 92087,+
 //  //  // ,G133T-1109 // G133T-1108 // G133T-1107 // G133T-1106,1051231 // 1050284 // 1050172 // 1049151,1052643 // 1051216 // 1050291 // 1050212,+
,G133T-1105,1046885,1049029,+
 // ,G133T-1104 // G133T-1103,1046263 // 1045904,1046763 // 1046254,-
,G133T-1102,1044447,1045838,-
,G133T-1101,1043184,1044374,-
 //  // ,G133T-1100 // G133T-1099 // G133T-1098,1042456 // 1041210 // 1040474,1043166 // 1042436 // 1041217,+
,G133T-1097,1039549,1039986,-
,G133T-1096,1038323,1039402,-
,G133T-1095,1037680,1038198,-
,G133T-1094,1037415,1037606,+
,G133T-1093,1036929,1037330,-
,G133T-1092,1036140,1036751,-
,G133T-1091,1035811,1036143,+
,G133T-1090,1035076,1035594,-
,G133T-1089,1034786,1034950,-
,G133T-1088,1034394,1034522,+
,G133T-1087,1033398,1034276,-
,G133T-1086,1033145,1033357,+
,G133T-1085,1032076,1033020,+
 // ,G133T-1084 // G133T-1083,1029120 // 1027880,1032002 // 1029106,+
 // ,G133T-1082 // G133T-1081,1026514 // 1025625,1027773 // 1026521,+
,G133T-1080,1025313,1025498,-
,G133T-1079,1024525,1025292,+
,G133T-1078,1024022,1024339,-
 // ,G133T-1077 // G133T-1076,1023461 // 1022237,1023958 // 1023454,-
,G133T-1075,1020708,1022219,+
,G133T-1074,1019736,1020602,+
,G133T-1073,1018177,1019250,-
,G133T-1072,1017780,1018133,+
,G133T-1071,1016554,1017687,+
 // ,G133T-1070 // G133T-1069,1015196 // 1013845,1016287 // 1015206,-
,G133T-1068,1013477,1013686,-
,G133T-1067,1013065,1013268,-
 // ,G133T-1066 // G133T-1065,1012835 // 1012176,1012960 // 1012796,-
 // ,G133T-1064 // G133T-1063,1010106 // 1008352,1012127 // 1010109,+
,G133T-1062,1007984,1008232,+
,G133T-1061,1007407,1007907,-
,G133T-1060,1005919,1007280,-
,G133T-1059,1005028,1005876,+
,G133T-1058,1003895,1004743,-
,G133T-1057,1003128,1003871,+
,G133T-1056,1001943,1003058,+
,G133T-1055,1001651,1001794,+
 //  // ,G133T-1054 // G133T-1053 // G133T-1052,1000722 // 1000340 // 999987,1001453 // 1000735 // 1000343,-
,G133T-1051,998588,999973,+
 // ,G133T-1050 // G133T-1049,998254 // 997080,998397 // 998261,+
,G133T-1048,996492,997037,-
,G133T-1047,995097,996422,-
,G133T-1046,994429,995028,+
,G133T-1045,993299,994294,+
 //  // ,G133T-1044 // G133T-1043 // G133T-1042,992611 // 991545 // 991267,993102 // 992618 // 991557,-
,G133T-1041,990772,991236,+
,G133T-1040,989289,990698,-
,G133T-1039,987899,989254,+
,G133T-1038,986384,987781,+
,G133T-1037,985265,986134,+
,G133T-1036,984091,985191,+
,G133T-1035,983107,983982,-
,G133T-1034,982032,983036,+
,G133T-1033,980117,981493,-
,G133T-1032,978681,980087,+
,G133T-1031,976992,978518,-
,G133T-1030,976445,976885,-
,G133T-1029,974826,976292,-
,G133T-1028,974461,974784,+
,G133T-1027,974018,974260,-
 //  // ,G133T-1026 // G133T-1025 // G133T-1024,973479 // 972838 // 971702,974003 // 973482 // 972841,+
,G133T-1023,969808,971553,+
 //  // ,G133T-1022 // G133T-1021 // G133T-1020,968009 // 966378 // 965535,969676 // 967868 // 966359,+
 //  // ,G133T-1019 // G133T-1018 // G133T-1017,964781 // 963398 // 963203,965356 // 964750 // 963370,+
 // ,G133T-1016 // G133T-1015,961436 // 960758,962977 // 961420,+
,G133T-1014,960209,960631,+
,G133T-1013,959677,960072,+
,G133T-1012,958658,959566,-
 // ,G133T-1011 // G133T-1010,958032 // 954445,958628 // 958035,+
,G133T-1009,952746,953714,+
,G133T-1008,952056,952625,+
,G133T-1007,951451,951906,-
,G133T-1006,950020,951411,+
,G133T-1005,948768,949847,-
,G133T-1004,947935,948765,+
,G133T-1003,947296,947499,-
 //  //  //  //  //  //  //  //  //  // ,G133T-1002 // G133T-1001 // G133T-1000 // G133T-999 // G133T-998 // G133T-997 // G133T-996 // G133T-995 // G133T-994 // G133T-993 // G133T-992,946263 // 945353 // 944638 // 944271 // 943507 // 943347 // 942973 // 942430 // 940809 // 940103 // 939603,947204 // 946270 // 945336 // 944636 // 944268 // 943502 // 943347 // 942960 // 942407 // 940768 // 940067,+
,G133T-1,410,1750,+
